Season,Total_abundance,Shannon_diversity_h,Total_litterfall_g_m2_month,Leaf_fall_g_m2_month,Wood_fall_g_m2_month,Mean_monthly_rainfall_mm,Leaf_k_at_720,Wood_k_at_720
Dry,22,0.41,29.67,24.22,2.34,16.25,0.0006,0.0006
Dry,1732,0.37,35.55,29.30,2.81,16.25,0.0005,0.0008
Dry,390,0.42,22.97,20.77,1.68,16.25,0.0006,0.0008
Dry,152,0.69,30.56,26.87,1.63,16.25,0.0006,0.0009
Dry,182,0.39,42.44,38.18,1.59,16.25,0.0009,0.0007
Dry,495,0.29,41.08,39.31,0.22,16.25,0.0006,0.0007
Dry,533,0.51,43.52,40.30,0.70,16.25,0.0007,0.001
Dry,284,0.16,30.44,28.72,0.82,16.25,0.0006,0.0006
Dry,497,0.21,27.68,26.80,0.26,16.25,0.0007,0.0006
Dry,402,0.39,36.44,34.51,0.47,16.25,0.0007,0.0007
Dry,224,0.92,48.46,43.04,2.41,16.25,0.0006,0.0007
Dry,227,0.51,46.08,39.70,3.95,16.25,0.0011,0.0007
Rainy,254,0.60,18.67,13.09,2.93,218.56,0.0006,0.0006
Rainy,204,0.72,20.84,10.82,7.09,218.56,0.0005,0.0008
Rainy,239,0.71,5.27,3.73,0.68,218.56,0.0006,0.0008
Rainy,190,0.63,7.94,5.61,1.10,218.56,0.0006,0.0009
Rainy,164,0.60,12.48,8.61,1.47,218.56,0.0009,0.0007
Rainy,370,0.67,11.28,9.88,0.58,218.56,0.0006,0.0007
Rainy,190,0.70,13.62,11.37,1.04,218.56,0.0007,0.001
Rainy,247,0.53,10.65,4.26,1.26,218.56,0.0006,0.0006
Rainy,186,0.64,11.17,8.87,1.09,218.56,0.0007,0.0006
Rainy,192,0.76,18.15,15.76,1.13,218.56,0.0007,0.0007
Rainy,1069,0.45,28.89,22.73,2.24,218.56,0.0006,0.0007
Rainy,1458,0.34,16.64,9.52,5.97,218.56,0.0011,0.0007
