Season,Plot,Formicidae,Collembola,Hemiptera,Araneae,Diptera,Psocoptera,Hymenoptera,Blattodea,Isoptera,Coleoptera,Diplopoda,Isopoda,Opiliones,Ortoptera,Dermaptera,Ixodida,Siphonaptera,Trichoptera,Pseudoscorpionida,Chilopoda,Acarina,Thysanoptera,Others,Phasmatodea,Neuroptera,Total_Abundance
Dry,1,16,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22
Rainy,1.1,133,57,19,3,30,2,2,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,254
Dry,2,133,5,3,6,131,0,18,0,1364,13,0,0,0,2,1,0,3,0,0,1,44,2,6,0,0,1732
Rainy,2.1,43,56,16,9,61,0,0,1,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,204
Dry,3,165,1,3,3,15,0,0,0,200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,390
Rainy,3.1,64,92,26,5,31,1,0,2,9,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,239
Dry,4,78,6,1,5,28,0,2,1,0,15,0,0,0,3,0,0,0,0,0,0,0,10,3,0,0,152
Rainy,4.1,23,87,30,5,40,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,190
Dry,5,147,1,2,0,6,0,6,1,8,4,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,182
Rainy,5.1,39,76,15,4,27,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,164
Dry,6,430,2,2,10,16,4,8,1,6,12,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,495
Rainy,6.1,154,81,17,10,40,0,0,0,62,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,370
Dry,7,152,0,4,5,84,0,0,0,273,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533
Rainy,7.1,64,63,16,8,26,0,0,2,0,7,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,190
Dry,8,264,1,2,1,9,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,284
Rainy,8.1,38,143,10,2,47,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,247
Dry,9,446,12,1,3,15,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497
Rainy,9.1,31,95,17,7,26,0,0,1,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,186
Dry,10,320,1,6,6,19,1,24,0,8,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,402
Rainy,10.1,41,65,15,3,36,0,0,0,12,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,192
Dry,11,70,18,3,2,33,4,4,1,43,13,2,3,1,5,0,1,0,0,0,0,0,9,12,0,0,224
Rainy,11.1,103,115,8,8,67,0,1,0,753,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1069
Dry,12,156,0,9,4,5,0,9,0,1,32,0,0,0,1,0,0,1,0,3,0,0,0,6,0,0,227
Rainy,12.1,86,65,7,2,53,0,0,1,1184,54,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1458
