Plot,Leaf_k,Wood_k,pH ,P,K,Ca,Mg,Al,H+Al,SB,t,T,V,m,OM,P-Rem,BD,C_stock ,Mean_Diversity,Annual_Abundance,Mean_Richness,Mean_Evenness
1,0.0006,0.0006,4.87,0.4,30,0.25,0.07,0.76,8.2,0.4,1.16,8.6,4.7,65.5,5.59,11.3,0.87,28.2,1.17,276,8,0.58
2,0.0005,0.0008,5.02,0.2,30,0.08,0.07,0.38,7.5,0.23,0.61,7.73,3,62.3,4.79,10,0.81,25.11,1.26,1936,12,0.56
3,0.0006,0.0008,5.2,0.1,32,0.05,0.07,0.48,7.1,0.2,0.68,7.3,2.7,70.6,4.92,9.7,0.92,28.24,1.3,629,9,0.59
4,0.0006,0.0009,5.02,0.4,24,0.07,0.05,0.48,6.6,0.18,0.66,6.78,2.7,72.7,4.26,9.7,0.91,28.02,1.52,342,10,0.68
5,0.0009,0.0007,4.87,0.5,33,0.07,0.09,0.67,8,0.24,0.91,8.24,2.9,73.6,5.45,10.3,0.84,29.96,1.14,346,10,0.54
6,0.0006,0.0007,4.94,0.5,31,0.05,0.06,0.67,7.5,0.19,0.86,7.69,2.5,77.9,4.92,10.9,0.84,27.21,1.11,865,11,0.5
7,0.0007,0.001,4.6,0.2,22,0.07,0.04,0.67,6.3,0.17,0.84,6.47,2.6,79.8,3.72,13,0.88,24.46,1.39,723,8,0.69
8,0.0006,0.0006,4.92,0.9,39,0.05,0.07,0.86,8.3,0.22,1.08,8.52,2.6,79.6,6.38,11.2,0.85,40.49,0.8,531,9,0.36
9,0.0007,0.0006,4.85,0.6,32,0.1,0.07,0.76,8.3,0.25,1.01,8.55,2.9,75.2,5.45,11.1,0.78,21.76,0.98,683,8,0.46
10,0.0007,0.0007,5.07,0.3,24,0.03,0.03,0.48,6.4,0.12,0.6,6.52,1.8,80,4.26,10.2,0.81,26.09,1.32,594,9,0.61
11,0.0006,0.0007,5.02,0.4,36,0.06,0.07,0.67,7.5,0.22,0.89,7.72,2.8,75.3,5.19,10.8,0.86,25.2,1.57,1293,13,0.61
12,0.0011,0.0007,5.13,0.5,23,0.05,0.05,0.57,6.8,0.16,0.73,6.96,2.3,78.1,4.39,12.3,0.88,29.79,0.98,1685,11,0.41
