Plot,Formicidae,Collembola,Hemiptera,Araneae,Diptera,Psocoptera,Hymenoptera,Blattodea,Isoptera,Coleoptera,Diplopoda,Isopoda,Opiliones,Ortoptera,Dermaptera,Ixodida,Siphonaptera,Trichoptera,Pseudoscorpionida,Chilopoda,Acarina,Thysanoptera,Others,Phasmatodea,Neuroptera,Total_Abundance,Longitude,Latitude,Mean_Diversity
1,149,57,19,3,32,2,4,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,1,1,0,276,187715,8233747,1.1702
2,176,61,19,15,192,0,18,1,1364,28,0,0,0,5,1,0,3,0,0,1,44,2,6,0,0,1936,187715,8233767,1.2609
3,229,93,29,8,46,1,0,2,209,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,629,187965,8233827,1.3008
4,101,93,31,10,68,0,2,2,0,17,0,0,0,5,0,0,0,0,0,0,0,10,3,0,0,342,187815,8233847,1.5157
5,186,77,17,4,33,0,6,1,8,5,0,0,0,3,0,0,1,1,0,0,0,0,4,0,0,346,187915,8233927,1.1422
6,584,83,19,20,56,4,8,1,68,12,0,0,0,6,0,0,0,0,1,0,0,2,1,0,0,865,187715,8233947,1.1081
7,216,63,20,13,110,0,0,2,273,22,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,723,187665,8233987,1.3909
8,302,144,12,3,56,0,1,2,0,6,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,531,188015,8233987,0.8
9,477,107,18,10,41,0,0,1,5,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,683,187715,8234047,0.9801
10,361,66,21,9,55,1,24,0,20,21,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,594,187565,8234067,1.3219
11,173,133,11,10,100,4,5,1,796,24,2,3,1,8,0,1,0,0,0,0,0,9,12,0,0,1293,188015,8234127,1.5731
12,242,65,16,6,58,0,9,1,1185,86,0,0,0,6,1,0,1,0,3,0,0,0,6,0,0,1685,187865,8234187,0.9757
