Season,Plot,H,Mean_H,S,mean_S,J,Mean_J
Dry,1,0.9485875,1.1701927,5,8,0.5893906,0.5849077
Rainy,1,1.3917979,,11,,0.5804248,
Dry,2,0.8603529,1.2608844,15,11.5,0.317702,0.5583371
Rainy,2,1.6614159,,8,,0.7989722,
Dry,3,0.9642411,1.30078465,8,9,0.463702,0.5873923
Rainy,3,1.6373282,,10,,0.7110826,
Dry,4,1.5794902,1.51572755,11,9.5,0.6586986,0.67847305
Rainy,4,1.4519649,,8,,0.6982475,
Dry,5,0.8951776,1.14217305,12,9.5,0.360246,0.5370687
Rainy,5,1.3891685,,7,,0.7138914,
Dry,6,0.6657215,1.1081038,13,10.5,0.2595457,0.50258595
Rainy,6,1.5504861,,8,,0.7456262,
Dry,7,1.1726727,1.390909,6,7.5,0.6544811,0.69341735
Rainy,7,1.6091453,,9,,0.7323536,
Dry,8,0.3716607,0.7999516,9,9,0.1691501,0.3640737
Rainy,8,1.2282425,,9,,0.5589973,
Dry,9,0.4854827,0.9800629,7,8,0.2494888,0.4603139
Rainy,9,1.4746431,,9,,0.671139,
Dry,10,0.8904134,1.3219018,10,9,0.3867016,0.61495205
Rainy,10,1.7533902,,8,,0.8432025,
Dry,11,2.1171025,1.57309495,17,13,0.7472443,0.60780105
Rainy,11,1.0290874,,9,,0.4683578,
Dry,12,1.1700166,0.97568605,11,10.5,0.4879348,0.4136366
Rainy,12,0.7813555,,10,,0.3393384,
